2019-05-04 20:52:58 WARNING (MainThread) [homeassistant.loader] You are using a custom integration for custom_updater which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you do experience issues with Home Assistant.
2019-05-04 20:52:59 WARNING (Recorder) [homeassistant.components.recorder] Ended unfinished session (id=82 from 2019-05-04 22:47:06.393414)
2019-05-04 20:53:00 WARNING (MainThread) [homeassistant.loader] You are using a custom integration for onkyo which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you do experience issues with Home Assistant.
2019-05-04 20:53:10 WARNING (MainThread) [homeassistant.components.light] Setup of platform flux_led is taking over 10 seconds.
2019-05-04 20:53:11 WARNING (MainThread) [homeassistant.components.sensor] Setup of platform ring is taking over 10 seconds.
2019-05-04 20:53:18 WARNING (SyncWorker_4) [homeassistant.components.flux_led.light] Failed to connect to bulb 192.168.1.196, awning
2019-05-04 20:53:28 WARNING (MainThread) [homeassistant.components.camera] Setup of platform ring is taking over 10 seconds.
2019-05-04 20:53:29 WARNING (MainThread) [homeassistant.components.template.sensor] Could not render template since_last_boot_templated, the state is unknown.
2019-05-04 20:53:30 WARNING (MainThread) [homeassistant.helpers.service] Unable to find services.yaml for the custom_updater integration
2019-05-04 20:53:59 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 20:54:11 ERROR (MainThread) [frontend.js.latest.201904240] https://ra0hcs8sknbwomk6dlx56orpltojnji3.ui.nabu.casa/frontend_latest/chunk.4e658893eb3987694e23.js:1:973 TypeError: undefined is not an object (evaluating 'window.webkit.messageHandlers.externalBus.postMessage')
2019-05-04 20:54:45 ERROR (MainThread) [homeassistant.components.hassio.http] Client error on api app/entrypoint.js request None
2019-05-04 20:55:01 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 20:55:31 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 20:56:02 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 20:57:34 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 21:57:04 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 21:57:35 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:02:43 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:03:13 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:03:44 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:04:46 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:05:17 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 22:06:19 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
